open_algae_bags,swirl_flask,cull_dead_broodstock,broodstock_wq,system_wq,baywater_wq,check_flow_rates,change_cartridge_filters,calc_feed_rates,dose_silica,algae_temp,algae_pH,check_gyres,algae_cell_count,pump_algae_sump,blue_tank_sal_pH,feed_broodstock
1,2,1.5,6,6,14,7,3,1,2,1.3,4.5,1,21,3,1,6
2,2,1,7,6,5,9,2.5,2,3,1,2,1,14,5,1.5,3
2,2,3,5,8,7,1,4,1,3,2,1,1,16,5,2,9
1,2,3,5,2,6,0.3,2,1.1,2,2,2,1,18,4,1,8
2.5,2,4,1.5,11,6,3,1.5,,3,1.5,3,0.3,17,6,1,11
2,2.7,2,8,,,1,1.5,,4,1.5,2,0.5,18.5,,1.5,9
1,2,2,2.5,,,1,4.5,,3,1,2,0.1,18.7,,,11
1,,1.5,6,,,0.3,,,2,1.7,3.3,,,,,9
1,,1,,,,1.5,,,,1,3,,,,,8
,,2,,,,,,,,1,2.5,,,,,10
,,,,,,,,,,1,1.5,,,,,7
,,,,,,,,,,2,2.5,,,,,5
,,,,,,,,,,3,3,,,,,9
,,,,,,,,,,1.7,3.6,,,,,
,,,,,,,,,,,,,,,,
9,7,10,8,5,5,9,7,4,8,14,14,7,7,5,6,13