UV earls and media,collects stock and place in hood,clean air lines + fern + connect,transfer 700mL+disconnect+spray+connect airline,collect old earls for clean up (8 earls),transfer earls to different shelf (8 earls)
15,0.3,2,3.2,11,9
,0.5,0.8,2,,
,0.3,1.3,1.9,,
,0.3,1.4,2.3,,
,0.3,1,2.3,,
,,1,1.6,,
,,1,2,,
,,1,1.6,,
,,,,,
,,,,,
,0.34,1.1875,2.1125,,
,2.72,9.5,16.9,,
,,,,,
,,,,,
,,collect,11:52 AM,1:01 PM,1 hour
,,airlines,1:01 PM,1:17 PM,16 min
,,transfer,1:18 PM,1:30 PM,12 min