clamp fern airlines,move ferns to cart,gather algae bags,go to apr,hang new bag,poke inflation hole,attach new filter,infalte bag,poke bellybutton + airlie hole,get flask + hose,transfer fern contents,close bellybutton + airline,connect feedline,record bags,clean transfer hoses
5,2,1,1,2,1,3,4,1,0.5,4,1,1,2,4
2,2,6,1,0.7,1.1,1.8,1,0.333333333,0.5,2.45,0.5,1.083333333,,
,,,,1.8,0.8,2,2.7,0.683333333,0.333333333,3.533333333,0.533333333,0.875,,
,,,,0.9,0.3,1.2,3.8,0.5,0.25,2.7,0.666666667,0.916666667,,
,,,,1,0.4,1.6,2.5,0.333333333,0.166666667,4.5,0.666666667,0.941666667,,
,,,,0.8,0.5,1.3,3.2,0.5,2.7,5.916666667,0.333333333,1,,
,,,,1.3,1.4,1.1,3.6,0.375,0.8,4.283333333,0.75,1.3,,
,,,,1,2.4,1.3,2.5,0.6,1.3,2.683333333,0.716666667,1.1,,
,,,,1.1,0.8,1.7,2.5,0.4,2,4.5,0.883333333,0.9,,
,,,,1.1,1.1,1.9,2.3,1,1.5,1,0.5,0.9,,
,,,,1,1.1,2.4,2.2,1,1.5,1.3,0.6,1,,
,,,,,,,2.3,1,,2,1,,,
,,,,,,,2.4,1.1,,1.4,1,,,
,,,,,,,,,,1.5,1,,,
,,,,,,,,,,1.7,0.8,,,
,,,,,,,,,,,,,,
,,,,11,11,11,13,13,11,15,15,11,,